# M_star [M_sun], T_star [K], M_disk [M_sun], alpha, R [au], T_disk [K], Sigma_gas [g/cm^2], eps, afrag [cm], OmegaK [1/s], tgr [s]
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,2.441069999975524832e-03,7.844542261083177870e+00,1.469284171972504396e+02,5.565586136015071794e+00,1.254409300997495974e-03,5.569765283181136312e-02,6.407687017703128910e-09,1.244111899411323547e+11
9.000000000000000222e-01,4.315000000000000000e+03,4.500000000000000527e-02,1.524073575136208327e-04,1.365985107183434799e+01,1.369793751823519870e+02,5.877761636629660558e+00,4.649879864158212861e-01,1.409457442593607945e+00,3.741278231497423456e-09,5.748284579072858095e+08
4.000000000000000222e-01,3.672000000000000000e+03,2.000000000000000389e-02,7.393196799596797077e-04,9.079740834448104536e+00,1.277739084061714010e+02,3.882542053680905436e+00,2.256416678648669562e-04,1.489116539252645921e-01,4.602433433081039307e-09,9.629265979325286865e+11
5.999999999999999778e-01,3.988000000000000000e+03,2.999999999999999889e-02,5.145769496455644514e-03,7.960896555864150237e+00,1.539801893123391494e+02,6.587848907675279087e+00,1.994571698342976762e-01,2.982651610344984675e-02,6.865945519924222556e-09,7.302137299094214439e+08
5.000000000000000000e-01,3.849000000000000000e+03,2.500000000000000139e-02,1.679787719103157306e-03,5.672669118014313838e+00,1.727805157602891484e+02,7.490798830845879941e+00,3.183207254012912490e-02,9.267208804485545237e-02,1.042009126314881187e-08,3.014835090316177368e+09
2.000000000000000042e-02,2.594000000000000000e+03,1.000000000000000021e-03,1.510730413753903160e-03,1.285815296882811687e+01,3.395626031095402197e+01,1.387231289539672674e-01,1.513057588531877690e-03,1.004993649146346084e-02,6.106815716466056505e-10,1.082255315044770142e+12
1.100000000000000006e-01,2.945000000000000000e+03,5.500000000000000548e-03,5.948949049499307681e-03,8.170532191429154878e+00,7.419622601046748400e+01,1.178860172026618303e+00,5.763289371341651784e-02,9.584082336996398513e-03,2.827408266280669443e-09,6.136787015301660538e+09
1.000000000000000056e-01,2.925000000000000000e+03,5.000000000000000971e-03,5.080230922912631550e-03,8.920386567807176093e+00,6.788655167214243136e+01,9.869822407765820316e-01,3.890811811790327313e-01,1.027255735369404267e-02,2.363154881735320160e-09,1.087595965873142004e+09
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,2.823846562359039951e-04,3.873026234938956147e+00,2.882643893083288162e+02,2.529129904816603869e+01,3.040372434845140526e-01,1.129729008364686704e+00,2.861426953796233806e-08,1.149451231310244650e+08
1.199999999999999956e+00,4.537000000000000000e+03,5.999999999999999778e-02,1.609054102235694473e-04,3.463435697371895383e+00,3.048334481500280617e+02,2.791536385108626916e+01,1.099402496417648811e-01,2.122591284168062309e+00,3.383745012527126113e-08,2.688101434091742039e+08
2.999999999999999889e-02,2.666000000000000000e+03,1.500000000000000031e-03,1.659108190788720393e-03,4.465514803659023091e-01,2.112671642410139157e+02,4.079436921378683856e+00,3.387056613529093041e-01,4.177530380393327386e-02,1.155635903566743476e-07,2.554797709158132970e+07
1.499999999999999944e-01,3.076000000000000000e+03,7.499999999999997988e-03,7.787144019025966750e-03,9.452145934488653367e+00,8.107967890491619301e+01,1.401607594463774475e+00,1.283082389300396449e-04,7.964261616032175181e-03,2.653491502245936157e-09,2.937161011519116699e+12
7.499999999999998335e-02,2.835000000000000000e+03,3.749999999999999861e-03,2.196019804626793480e-04,2.901032384343910309e+00,1.119090614712574023e+02,2.038444834502776803e+00,1.098287381754166521e-02,3.621270398408845681e-01,1.103492702103312090e-08,8.251151107968983650e+09
